compartment_id,detector_id,detector_rule_id,id,labels0,lifecycle_detail,lifecycle_state,locks,region,resource_id,resource_name,resource_type,risk_level,risk_score,target_id,time_first_detected,time_last_detected,comment,description,recommendation
ocid1.compartment.oc1..aaaaaaaaiz5ve4v3ezanfsojomk3v6sghzf4qq5ewpdp7rt6vgwcdcgajbtq;IAAS_CONFIGURATION_DETECTOR;BLOCK_VOLUME_ENCRYPTED_WITH_ORACLE_MANAGED_KEY;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqyussbpstbxc2tys5xgdopw5w275eudoxo2imm4cxn32a;KMS;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.volume.oc1.sa-saopaulo-1.abtxeljrnrg2mavyfmbcygssqyhcftjxu4mqrpnnxa75aj2zjk6fy6bn6seq;COM-RDD-PRO-SDB-O11-001;BlockVolume;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-05 18:54:19.053000+00:00;2025-09-16 17:46:25.441000+00:00;;Encryption of volumes provides an additional level of security on your data. Management of encryption keys is critical to protecting and accessing protected data. Some customers want to identify Block Volumes encrypted Oracle-managed keys in order to apply their own key lifecycle management to the volume.;Assign a vault key to this volume
ocid1.compartment.oc1..aaaaaaaa35raeuvx3cxe7mnpgxanqsz6kxclq4zsqqi6xc6yjg43jmj5fyza;IAAS_CONFIGURATION_DETECTOR;LB_NO_INBOUND_RULES_OR_LISTENERS;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcq6pwfxhsfbsd5uujkaomcdgfcv5uww37ww3ofbvddxota;Network;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.loadbalancer.oc1.sa-saopaulo-1.aaaaaaaa4q7l3tff7epb5czvbd6gqp6a3vboakupziukqhhbneewclrv3kda;COM-POL-PRO-NLB-O11-001;LoadBalancer;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-21 05:50:11.893000+00:00;2025-09-16 17:18:52.553000+00:00;;OCI load balancers enable end-to-end TLS connections between a client's applications and your VCN. A listener is a logical entity that checks for incoming traffic on the load balancer's IP address. To handle TCP, HTTP, and HTTPS traffic, you must configure at least one listener per traffic type.;Ensure that your OCI load balancers use inbound rules or listeners to only allow access from known resources.
ocid1.compartment.oc1..aaaaaaaaleuxcieeluii4jlcl3pepcmrmxbb3hdalt5m2rpfvxzwwvrjlzga;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqhz7ecsf7oidxfo3i2vbahl62iijpw7fiaxv6jmwasaea;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrpbec6benszidcn55vqt6e3lp5envpmelohtgnlv7egzuqqnodv4q;TEC-SCA-DES-VMA-O11-010;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-01 22:45:07.387000+00:00;2025-09-16 17:58:30.970000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa4fyiek2wytf6acqublcnqbum3j6pekx2u4nivcsgpof2hkmkvapq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqjtzv6bsaw6thdznfr7uwoomcm66ssc67cw232nxrzdea;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljr3ulnhgwxo222uzeyxhs5hgo5tyu2hvhybft4jh3xk3btshposvba;CRS-UBUNTU-ANSI-011-004;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-29 21:20:57.404000+00:00;2025-09-16 18:04:02.481000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa4fyiek2wytf6acqublcnqbum3j6pekx2u4nivcsgpof2hkmkvapq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcq7ewwhsjovmptxxu3ykdh64bappan3lg72lfonhmribfq;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrwwrfpcapwkes3rnbdsiku4ruredt46t2io7ce2vqjizijwniczla;COM-CRS-CAL-SFT-O11-001-09-09-25;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-11 02:52:11.075000+00:00;2025-09-16 17:58:12.977000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcq6yqcxofjgt23b6znwvhabr4hs6zr4gg7opte7gakuzsa;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljri2ymxosfyxtqv2dtv43pbl7hvrvzy6dcn4mjos4njg3e4eutkuxa;TEC-SCA-PRO-VMA-O11-011;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-15 22:07:40.675000+00:00;2025-09-16 18:04:40.066000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaaiz5ve4v3ezanfsojomk3v6sghzf4qq5ewpdp7rt6vgwcdcgajbtq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqooffhuluippwoqsxewlnjesrfvn7h2ub7sj6rwvdspra;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrao5kn3ed46z53ysy3ktxddmtdu7ywzlsex4o5zkrgww333esni4q;COM-RDD-PRO-SDB-O11-001;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-05 18:54:39.495000+00:00;2025-09-16 17:50:10.610000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa4fyiek2wytf6acqublcnqbum3j6pekx2u4nivcsgpof2hkmkvapq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcq6kqywhou24wdcpxqwqszzckmpnkzyjf2uihuyg5adfqa;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljr57sh6msbpzmjf7m3iobp4tmplqyimv4dgwurzxccfahv634hwema;CRS-ORACLE-VM-011-001;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-28 16:54:38.631000+00:00;2025-09-16 18:00:11.956000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcq5b57r6c5oybnhakjg37vrvisf6dtlngrv4egq5wtm4hq;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrb5vkbkwwmjaigivvg3amgifksqocytkqdvpnsds4vrzr2zktcz7a;TEC-SCA-PRO-VMA-O11-014;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-12 18:41:36.058000+00:00;2025-09-16 18:05:03.121000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa2s7bo2ktt73osenjzsab2uwrk72qj6lmwcr26ncbqquva5xbfl5q;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqfilrvtlszlgcsdi2wkgfqsw2mrdm76ze3wgdpz5poy5a;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrrajra7qas7sszphvicp5acb4mzzwajdmao5nwb4vfmf5jqabgkkq;TEC-SCA-CAL-VMA-O11-012;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-12 07:26:33.934000+00:00;2025-09-16 18:08:00.670000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
